id,mid,weibo_created_at,source,region,is_edited,reposts,comments,attitudes,weibo_text,ats,topics,icons,supers,locations,photos,other_links
4642655973670947,4642655973670947,Sun May 30 20:48:22 +0800 2021,,,False,1000000,28324,130856,《剪头发》像一张整齐裁剪的纸贴在额前像一块西瓜皮盖在脑袋而我想又想#元气爱豆的日常# 🍉#元气夏日冲冲冲# ,[],"['#元气爱豆的日常#', '#元气夏日冲冲冲#']","['[嘻嘻]', '[泪]']",[],[],[],[]
4639747177453765,4639747177453765,Sat May 22 20:09:52 +0800 2021,,,False,2310,3778,105292,袁爷爷，感谢您的付出。一路走好！,[],[],[],[],[],[],[]
4638955205823586,4638955205823586,Thu May 20 15:42:51 +0800 2021,微博视频号,,False,1000000,22335,178234,#元气爱豆的日常# #520心动瞬间# TF家族-张极的微博视频 ,[],"['#元气爱豆的日常#', '#520心动瞬间#']",['[浮云]'],[],[],[],[]
4638702007747992,4638702007747992,Wed May 19 22:56:43 +0800 2021,,,False,1000000,20458,129564,今天🕰，和很容易饿的我#元气爱豆的日常# #元气夏日冲冲冲# ,[],"['#元气爱豆的日常#', '#元气夏日冲冲冲#']","['[泪]', '[浮云]']",[],[],[],[]
4637977579885610,4637977579885610,Mon May 17 22:58:07 +0800 2021,,,False,1000000,22215,112573,睡前听歌，突然想起分享一条小路的尽头🍃🍂#爱豆v力量# ,[],['#爱豆v力量#'],[],[],[],[],[]
4636887908877525,4636887908877525,Fri May 14 22:48:09 +0800 2021,微博视频号,,False,1000000,135232,180893,隔了这么久，终于完成了这个cover。其实在这个过程中，选了很多歌曲，但是因为我自己一直都在变声，嗓子情况不稳定，选好的歌很快又不太能唱了，变声期的苦恼，唉。这首慢歌，还是唱得不好，节奏和情绪都有点拖沓。现在也在练习新的歌曲，我也在等待变声更加稳定一点，舞蹈课也在慢慢加强训练 ...全文,[],[],['[失望]'],[],[],[],[]
4636099790245304,4636099790245304,Wed May 12 18:36:27 +0800 2021,,,False,2036,1780,55787,为逝去的生命缅怀，向重生致敬。愿一切安好！,[],[],[],[],[],[],[]
4635788727291052,4635788727291052,Tue May 11 22:00:24 +0800 2021,微博视频号,,False,1000000,18788,242025,我，录制视频NG大户。#元气爱豆的日常# TF家族-张极的微博视频 ,[],['#元气爱豆的日常#'],"['[裂开]', '[嘻嘻]']",[],[],[],[]
4634996600211221,4634996600211221,Sun May 09 17:32:46 +0800 2021,微博视频号,,False,1000000,16854,191222,妈，等我放假回来给你做好吃的#元气爱豆的日常# 🍜#妈妈我想对你说# TF家族-张极的微博视频 ,[],"['#元气爱豆的日常#', '#妈妈我想对你说#']",['[馋嘴]'],[],[],[],[]
4633625268066543,4633625268066543,Wed May 05 22:43:35 +0800 2021,,,False,1000000,17660,131250,最近大家说我的牙齿越来越白了😬#元气夏日冲冲冲# ,[],['#元气夏日冲冲冲#'],[],[],[],[],[]
4631834123833476,4631834123833476,Sat May 01 00:06:13 +0800 2021,,,False,1000000,17313,119241,早点睡觉大家！✌🏻#入夏我准备好了# ,[],['#入夏我准备好了#'],[],[],[],[],[]
4631387254034041,4631387254034041,Thu Apr 29 18:30:31 +0800 2021,,,False,1000000,16087,112929,这些天☁️☀️🧃🌳🌹#点亮你心中的光# ,[],['#点亮你心中的光#'],[],[],[],[],[]
4628520150240032,4628520150240032,Wed Apr 21 20:37:40 +0800 2021,微博视频号,,False,1000000,17748,263183,“小绿”和“小粉”的课间节奏训练。结果又发生了一场悲剧。@TF家族-左航 怎么办？#活力过春天# TF家族-张极的微博视频 ,['@TF家族-左航'],['#活力过春天#'],[],[],[],[],[]
4627838844013056,4627838844013056,Mon Apr 19 23:30:24 +0800 2021,微博视频号,,False,1000000,15936,117013,成功解锁一项锻炼肺活量技能#活力过春天# TF家族-张极的微博视频 ,[],['#活力过春天#'],['[嘻嘻]'],[],[],[],[]
4627091720508412,4627091720508412,Sat Apr 17 22:01:36 +0800 2021,,,False,1000000,12324,90210,强身健体的第N天。#活力过春天# ,[],['#活力过春天#'],[],[],[],[],[]
4626288285319700,4626288285319700,Thu Apr 15 16:49:01 +0800 2021,微博视频号,,False,1000000,11547,125949,新玩具 展示！#活力过春天# TF家族-张极的微博视频 ,[],['#活力过春天#'],[],[],[],[],[]
4624804366517481,4624804366517481,Sun Apr 11 14:32:28 +0800 2021,,,False,1000000,16686,86088,酷一下 战伤妆。#活力过春天# ,[],['#活力过春天#'],[],[],[],[],[]
4624044198461539,4624044198461539,Fri Apr 09 12:11:49 +0800 2021,微博视频号,,False,1000000,30676,95699,换季需要增强抵抗力#活力过春天# TF家族-张极的微博视频 ,[],['#活力过春天#'],['[加油]'],[],[],[],[]
4622720806949213,4622720806949213,Mon Apr 05 20:33:09 +0800 2021,微博视频号,,False,1000000,12742,193229,天气转暖，豆几变困，随时随地，立刻睡着。🥱#活力过春天# TF家族-张极的微博视频 ,[],['#活力过春天#'],[],[],[],[],[]
4622322373756303,4622322373756303,Sun Apr 04 18:09:55 +0800 2021,,,False,2240,3009,52088,#为烈士寻亲# 致敬，铭记，吾辈自强。#你记得我我就活着#,[],"['#为烈士寻亲#', '#你记得我我就活着#']",[],[],[],[],[]
4620839565397580,4620839565397580,Wed Mar 31 15:57:46 +0800 2021,微博视频号,,False,1000000,13129,135258,春天来了🌸#春日四分格# TF家族-张极的微博视频 ,[],['#春日四分格#'],[],[],[],[],[]
4619714476901835,4619714476901835,Sun Mar 28 13:27:04 +0800 2021,,,False,1000000,12724,82399,📷📸#活力过春天# ,[],['#活力过春天#'],[],[],[],[],[]
4619698164996770,4619698164996770,Sun Mar 28 12:22:15 +0800 2021,,,False,9706,2778,53503,#向上吧少年# 记得和“张老板”一起来为少年闯关助力🤛,[],['#向上吧少年#'],['[嘻嘻]'],[],[],[],[]
4619429814209910,4619429814209910,Sat Mar 27 18:35:55 +0800 2021,,,False,1000000,4233,50780,#向上吧少年# 少年闯关之路，我们一起来守关！周日至周四晚7:30，锁定@湖南卫视向上吧少年 ，我们不见不散～,['@湖南卫视向上吧少年'],['#向上吧少年#'],[],[],[],[],[]
4617254019010424,4617254019010424,Sun Mar 21 18:30:05 +0800 2021,微博视频号,,False,1000000,15457,111078,我的悲伤有99.9%是来自于这阴天#春日畅享季# TF家族-张极的微博视频 ,[],['#春日畅享季#'],['[裂开]'],[],[],[],[]
4616940259377261,4616940259377261,Sat Mar 20 21:43:18 +0800 2021,,,False,1000000,12549,87074,📀终于到手了！最近超级沉迷～#春日畅享季# ,[],['#春日畅享季#'],[],[],[],[],[]
4615844145140537,4615844145140537,Wed Mar 17 21:07:45 +0800 2021,,,False,1000000,14548,89491,最近好热了啊，升温了就把刘海甩开吧#春日畅享季# ,[],['#春日畅享季#'],['[拳头]'],[],[],[],[]
4612977288024053,4612977288024053,Tue Mar 09 23:15:53 +0800 2021,,,False,1000000,16084,66347,戴着我的啵啵🎩#春日畅享季# ,[],['#春日畅享季#'],[],[],[],[],[]
4612164528901185,4612164528901185,Sun Mar 07 17:26:16 +0800 2021,微博视频号,,False,1000000,15348,114584,🥊张极选手 不惧挑战#春日畅享季# TF家族-张极的微博视频 ,[],['#春日畅享季#'],[],[],[],[],[]
4611152388033001,4611152388033001,Thu Mar 04 22:24:23 +0800 2021,,,False,1000000,11128,71721,就躺一会儿不然等会要被服装老师“暗杀”#牛年如意# ,[],['#牛年如意#'],"['[嘘]', '[坏笑]']",[],[],[],[]
4610434563572560,4610434563572560,Tue Mar 02 22:51:59 +0800 2021,,,False,1000000,10529,71380,快乐又孤独的练琴之夜🌛。#牛年如意# ,[],['#牛年如意#'],[],[],[],[],[]
4609165279101550,4609165279101550,Sat Feb 27 10:48:19 +0800 2021,,,False,1000000,16338,91362,把我的齐刘海“ma”开，在天气不好的时候心情变好！！#牛年如意# ,[],['#牛年如意#'],[],[],[],[],[]
4607508330583844,4607508330583844,Mon Feb 22 21:04:12 +0800 2021,,,False,1000000,15504,92806,大力豆几。👆#牛年如意# ,[],['#牛年如意#'],[],[],[],[],[]
4607174393208609,4607174393208609,Sun Feb 21 22:57:15 +0800 2021,,,False,1000000,11828,63165,天气怎么暖和得这么快，我的毛绒抗风帽，好像突兀和厚重了起来。。。#牛年如意# ,[],['#牛年如意#'],[],[],[],[],[]
4606802447043097,4606802447043097,Sat Feb 20 22:19:16 +0800 2021,,,False,1000000,10607,77806,我家那边的托尼老师让我拥有了一个“残缺”的刘海，快长长吧！！！#牛年如意# ,[],['#牛年如意#'],[],[],[],[],[]
4604270174011432,4604270174011432,Sat Feb 13 22:36:54 +0800 2021,微博视频号,,False,1000000,20715,113390,给大家放个不一样的烟花🎆#2021牛起来呀# TF家族-张极的微博视频 ,[],['#2021牛起来呀#'],[],[],[],[],[]
4603503898807351,4603503898807351,Thu Feb 11 19:52:01 +0800 2021,,,False,1000000,16310,79064,我们一家人呢，今晚的年夜饭就是一家人包饺子吃！馅大皮薄啵啵都说好！！😁新年快乐一定要快乐乐乐乐乐！！！🧧#2021牛起来呀# ,[],['#2021牛起来呀#'],[],[],[],[],[]
